Category,Sub Category,Sub Heading,Service,Service Title,Service Sub Title,gender,Short Description,Products,Approx Time,Service Cost,Product Cost,Basic Total Cost,description
Spa for Women,Spa At Home,Skincare and Scrubs,Full Back Scrub,Full Back Scrub,Exfoliates skin and remove dead cells,FEMALE,Restores natural oil Removes dead skin cells Improves blood circulation,"Spa Kit,Sokora Korean Body Scrub 50 gm",20,240,349,589,"[{""title"":""Recommended For"",""points"":[""Dry or Dehydrated Skin"",""Rough or Calloused Skin"",""Skin that looks dull or lackluster"",""Hyperpigmentation or Uneven Skin Tone"",""Congested Skin""]},{""title"":""Benefits of Back Scrubbing "",""points"":[""Exfoliation"",""Improved Skin Texture"",""Enhanced Blood Circulation"",""Brightens Dull Skin"",""Hydration and Moisturization"",""Relaxation and Stress Relief""]},{""title"":""Pressure applied during Scrubbing"",""points"":[""Gentle to Moderate""]},{""title"":""Technique Used"",""points"":[""Use of Hands, thumbs, or fingers.""]},{""title"":""Things To know"",""points"":[""Jojoba Scrub will be used during this massage"",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""Yes madam suggestions"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Consult with your doctor if you are going through any medical conditions, pregnancy or breastfeeding."",""Avoid heavy meal before and post massage"",""Post massage - Drink loads of water.""]},{""title"":""Why Yes Madam"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head Massage and Face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Massage for Men,Skincare and Scrubs,Scrub,Full Back Scrub,Full Back Scrub,,MALE,Removes dead skin cells and exfoliates skin,"Spa Kit,Sokora Korean Body Scrub 50 gm",20,240,349,589,"[{""title"":""Recommended For"",""points"":[""Dry or Dehydrated Skin"",""Rough or Calloused Skin"",""Skin that looks dull or lackluster"",""Hyperpigmentation or Uneven Skin Tone"",""Congested Skin""]},{""title"":""Benefits of Back Scrubbing "",""points"":[""Exfoliation"",""Improved Skin Texture"",""Enhanced Blood Circulation"",""Brightens Dull Skin"",""Hydration and Moisturization"",""Relaxation and Stress Relief""]},{""title"":""Pressure applied during Scrubbing"",""points"":[""Gentle to Moderate""]},{""title"":""Technique Used"",""points"":[""Use of Hands, thumbs, or fingers.""]},{""title"":""Things To know"",""points"":[""Jojoba Scrub will be used during this massage"",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""Yes madam suggestions"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Consult with your doctor if you are going through any medical conditions"",""Avoid heavy meal before and post massage"",""Post massage - Drink loads of water.""]},{""title"":""Why Yes Madam"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head Massage and Face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Spa for Women,Spa Services,Body Polishing,Full Hands Jojoba Scrub,Full Hands Jojoba Scrub,Mild Pressure Massage | Jojoba Scrub,FEMALE,Restores natural oil Removes dead skin cells Improves blood circulation,"Spa Kit,ODR Scrub",20,240,349,589,"[{""title"":""Recommended For"",""points"":[""Dry or Dehydrated Skin"",""Rough or Calloused Skin"",""Skin that looks dull or lackluster"",""Hyperpigmentation or Uneven Skin Tone"",""Congested Skin""]},{""title"":""Benefits of Full Hands Scrub"",""points"":[""Exfoliation"",""Improved Skin Texture"",""Enhanced Blood Circulation"",""Brightens Dull Skin"",""Hydration and Moisturization"",""Relaxation and Stress Relief""]},{""title"":""Pressure applied during Scrubbing"",""points"":[""Gentle to Moderate""]},{""title"":""Technique Used"",""points"":[""Use of Hands, thumbs, or fingers.""]},{""title"":""Things To know"",""points"":[""Jojoba Scrub will be used during this massage"",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""Yes madam suggestions"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Consult with your doctor if you are going through any medical conditions, pregnancy or breastfeeding."",""Avoid heavy meal before and post massage"",""Post massage - Drink loads of water.""]},{""title"":""Why Yes Madam"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head Massage and Face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Spa for Women,Spa At Home,Skincare and Scrubs,Full Arms Scrub,Full Arms Scrub,Exfoliates skin and remove dead cells,FEMALE,Restores natural oil Removes dead skin cells Improves blood circulation,"Spa Kit,Sokora Korean Body Scrub 50 gm",20,240,349,589,"[{""title"":""Recommended For"",""points"":[""Dry or Dehydrated Skin"",""Rough or Calloused Skin"",""Skin that looks dull or lackluster"",""Hyperpigmentation or Uneven Skin Tone"",""Congested Skin""]},{""title"":""Benefits of Full Hands Scrub"",""points"":[""Exfoliation"",""Improved Skin Texture"",""Enhanced Blood Circulation"",""Brightens Dull Skin"",""Hydration and Moisturization"",""Relaxation and Stress Relief""]},{""title"":""Pressure applied during Scrubbing"",""points"":[""Gentle to Moderate""]},{""title"":""Technique Used"",""points"":[""Use of Hands, thumbs, or fingers.""]},{""title"":""Things To know"",""points"":[""Jojoba Scrub will be used during this massage"",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""Yes madam suggestions"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Consult with your doctor if you are going through any medical conditions, pregnancy or breastfeeding."",""Avoid heavy meal before and post massage"",""Post massage - Drink loads of water.""]},{""title"":""Why Yes Madam"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head Massage and Face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Massage for Men,Skincare and Scrubs,Scrub,Full Arms Scrub,Full Arms Scrub,,MALE,Restores natural oil Removes dead skin cells Improves blood circulation,"Spa Kit,Sokora Korean Body Scrub 50 gm",20,240,349,589,"[{""title"":""Recommended For"",""points"":[""Dry or Dehydrated Skin"",""Rough or Calloused Skin"",""Skin that looks dull or lackluster"",""Hyperpigmentation or Uneven Skin Tone"",""Congested Skin""]},{""title"":""Benefits of Full Hands Scrub"",""points"":[""Exfoliation"",""Improved Skin Texture"",""Enhanced Blood Circulation"",""Brightens Dull Skin"",""Hydration and Moisturization"",""Relaxation and Stress Relief""]},{""title"":""Pressure applied during Scrubbing"",""points"":[""Gentle to Moderate""]},{""title"":""Technique Used"",""points"":[""Use of Hands, thumbs, or fingers.""]},{""title"":""Things To know"",""points"":[""Jojoba Scrub will be used during this massage"",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""Yes madam suggestions"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Consult with your doctor if you are going through any medical conditions"",""Avoid heavy meal before and post massage"",""Post massage - Drink loads of water.""]},{""title"":""Why Yes Madam"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head Massage and Face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Spa for Women,Spa At Home,Skincare and Scrubs,Full Legs Scrub,Full Legs Scrub,Exfoliates skin and remove dead cells,FEMALE,Restores natural oil Removes dead skin cells Improves blood circulation,"Sokora Korean Body Scrub 50 gm,Spa Kit",20,240,349,589,
Massage for Men,Skincare and Scrubs,Scrub,Full Legs Scrub,Full Legs Scrub,,MALE,Removes dead skin cells and exfoliates skin,"Spa Kit,Sokora Korean Body Scrub 50 gm",20,240,349,589,
Salon for Women,FREE Waxing,Top-Up,3 In 1 LED Light Therapy Face Mask,3 In 1 LED Light Therapy Face Mask,Add On,FEMALE,"LED Lighting Therapy Rejuvenation Facial Mask for Clean, Clear and Glowing Skin Add On Service with Any Facial/Clean-Up and Face Massage",Winston Light LED Mask,16,96,3,99,"[{""title"":""RECOMMENDED FOR"",""points"":[""All Skin Types""]},{""title"":""BENEFITS"",""points"":[""Face mask is equipped with 3 different light energy colors with different skin benefits. "",""Red light helps to boost blood flow  collagen production, Blue light helps in preventing acne and Orange light helps to improves the skin tone."",""This face mask transmits natural light waves that helps in achieving glowing skin."",""Led face mask light therapy help in enhancing collagen production, reduces the signs of aging, may improves skin tone and brightness, and so much more!"",""This face mask is lighter and thinner with ear  nose brackets so you won\u0027t feel pressure during use. ""]},{""title"":""THINGS TO KNOW"",""points"":[""This service can only be booked with facial/clean up/face massage services."",""3 in 1 LED Face Mask will not be handed over.""]}]"
Salon for Women,Threading and Face Wax,Recommended for you,3 In 1 LED Light Therapy Face Mask,3 In 1 LED Light Therapy Face Mask,,FEMALE,LED Lighting Therapy Rejuvenation Facial Mask for Clear and Glowing Skin Add On Service with Any Facial/Clean-Up and Face Massage,Winston Light LED Mask,16,96,3,99,"[{""title"":""RECOMMENDED FOR"",""points"":[""All Skin Types""]},{""title"":""BENEFITS"",""points"":[""Red light helps to boost blood flow  collagen production, Blue light helps in preventing acne and Orange light helps to improves the skin tone."",""This face mask transmits natural light waves that helps in achieving glowing skin."",""Led face mask light therapy help in enhancing collagen production, reduces the signs of aging, may improves skin tone and brightness, and so much more!"",""This face mask is lighter and thinner with ear  nose brackets so you won\u0027t feel pressure during use. ""]},{""title"":""THINGS TO KNOW"",""points"":[""This service can only be booked with facial/clean up/face massage services."",""3 in 1 LED Face Mask will not be handed over.""]}]"
Massage for Men,Skincare and Scrubs,Scrub,Face Massage,Face Massage,Moderate Pressure Massage | Face massage cream,MALE,Increases collagen production Gives a healthy and natural glow Brightens skin,,30,360,216,576,"[{""title"":""Recommended For"",""points"":[""Relaxation and Stress Relief"",""Improved Circulation"",""Facial Muscle Tone"",""Lymphatic Drainage"",""Reduction of Facial Tension and TMJ Discomfort""]},{""title"":""Pressure applied during Face Massage"",""points"":[""Gentle and moderate""]},{""title"":""Technique Used"",""points"":[""Fingertips and Palms are used to do this massage""]},{""title"":""Things To know"",""points"":[""Face massage cream will be used in this massage"",""A dim light to create a sense of relaxation.""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head massage is included in this""]}]"
Spa for Women,Spa At Home,Full Body Polishing / Spa,Face Massage,Face Massage,Moderate Pressure Massage | Face massage cream,FEMALE,Increases collagen production Gives a healthy and natural glow Brightens skin,,30,360,216,576,"[{""title"":""Recommended For"",""points"":[""Relaxation and Stress Relief"",""Improved Circulation"",""Facial Muscle Tone"",""Lymphatic Drainage"",""Reduction of Facial Tension and TMJ Discomfort""]},{""title"":""Pressure applied during Face Massage"",""points"":[""Gentle and moderate""]},{""title"":""Technique Used"",""points"":[""Fingertips and Palms are used to do this massage""]},{""title"":""Things To know"",""points"":[""Face massage cream will be used in this massage"",""A dim light to create a sense of relaxation.""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head massage is included in this""]}]"
Massage for Men,Skincare and Scrubs,Scrub,Full Body Scrub,Full Body Scrub,,MALE,Removes dead skin cells and exfoliates skin,"Sokora Korean Body Scrub 50 gm,Spa Kit",45,540,349,889,"[{""title"":""Recommended For"",""points"":[""Dry or Dehydrated Skin"",""Rough or Calloused Skin"",""Skin that looks dull or lackluster"",""Hyperpigmentation or Uneven Skin Tone"",""Congested Skin""]},{""title"":""Benefits of Full Body Scrub"",""points"":[""Exfoliation"",""Improved Skin Texture"",""Enhanced Blood Circulation"",""Brightens Dull Skin"",""Hydration and Moisturization"",""Relaxation and Stress Relief""]},{""title"":""Pressure applied during Scrubbing"",""points"":[""Gentle to Moderate""]},{""title"":""Technique Used"",""points"":[""Use of Hands, thumbs, or fingers.""]},{""title"":""Things To know"",""points"":[""Jojoba Scrub will be used during this massage"",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""Yes madam suggestions"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Avoid heavy meal before and post massage"",""Post massage - Drink loads of water.""]},{""title"":""Why Yes Madam"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""Note"",""points"":[""Products will be handed over if left ."",""Head Massage and Face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Spa for Women,Spa Services,Pain Relief,Thai Dry Massage,Thai Dry Massage,Increases flexibility and mobility,FEMALE,Increases flexiblity and mobility. Can be done with clothes on.,Spa Kit,60,720,150,870,"[{""title"":""RECOMMENDED FOR"",""points"":[""Relaxation and stress relief"",""Improved flexibility and range of motion"",""Pain relief and muscle tension release"",""Enhanced circulation and energy flow"",""Improved posture and body alignment""]},{""title"":""Benefits of Thai Massage"",""points"":[""Stress relief"",""Muscle tension and pain relief"",""Improved flexibility and range of motion"",""Detoxification "",""Boosted energy and vitality""]},{""title"":""Pressure applied during massage"",""points"":[""Medium to Firm""]},{""title"":""Technique used in Thai Massage"",""points"":[""Compression"",""Stretching"",""Rocking and Rhythmic Movements"",""Thumb and Palm Pressure,"",""Joint Mobilization""]},{""title"":""THINGS TO KNOW "",""points"":[""This is Dry Massage. No oil is required to perform this massage."",""A dim light to create a sense of relaxation."",""Soothing music to calm mind, body and soul. "",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Inform the therapist if you are dealing with any chronic pain or injury or have recently had a surgery."",""Consult with your doctor if you are going through any medical conditions, pregnancy or breastfeeding."",""Don\u0027t take a heavy meal right before the massage"",""Post massage - Drink loads of water.""]},{""title"":""WHY YES MADAM"",""points"":[""Spa like ambience at home "",""Professionally trained therapists "",""Mono-dose products for maximum transparency"",""Safe spa experience at the comfort of your home""]},{""title"":""NOTE"",""points"":[""Products will be handed over if left ."",""Head and face massage is not included."",""The Spa bed is not included in the service currently.""]}]"
Spa for Women,Spa Services,Post Natal Massage,Post Natal Massage,Post Natal Massage,Reduces postpartum swelling and heals scars,FEMALE,Reduces postpartum swelling and helps in healing cesarean scars (if any).,Product,60,720,250,970,"[{""title"":""BENEFITS"",""points"":[""Reduced Swelling"",""Scar Healing"",""Emotional Support"",""Relaxation and Stress Reduction""]},{""title"":""RECOMMENDED FOR"",""points"":[""Physical Recovery"",""Pain Relief"",""Hormonal Regulation"",""Improved Circulation"",""Better Sleep Quality""]},{""title"":""PRESSURE POINT"",""points"":[""Medium Pressure""]},{""title"":""TECHNIQUE USED"",""points"":[""Palm and fist""]},{""title"":""THINGS TO KNOW"",""points"":[""A dim light to create a sense of relaxation"",""Soothing music to calm mind, body and soul"",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session""]},{""title"":""OIL USED"",""points"":[""Blissful Oil""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Drink plenty of water"",""Shower after 2 hours - lukewarm shower"",""Turmeric Milk at night"",""Tie Tummy with surgical belt or any traditional tummy wrap""]}]"
Spa for Women,Spa Services,Spa Bestsellers,10 Session,10 Session,Medium Pressure | Blissful Oil,FEMALE,Physical Recovery Improved Circulation Better Sleep Quality,Product,600,7200,1523,8723,"[{""title"":""BENEFITS"",""points"":[""Reduced Swelling"",""Scar Healing"",""Emotional Support"",""Relaxation and Stress Reduction""]},{""title"":""RECOMMENDED FOR"",""points"":[""Relief from Muscle Tension"",""Pain Relief"",""Hormonal Regulation"",""Hormonal Balance""]},{""title"":""PRESSURE POINT"",""points"":[""Medium Pressure""]},{""title"":""TECHNIQUE USED"",""points"":[""Palm and fist""]},{""title"":""THINGS TO KNOW"",""points"":[""Sessions will be pre booked every alternate day"",""Soothing music to calm mind, body and soul"",""It\u0027s important to communicate your specific needs and concerns with your massage therapist before the session"",""A dim light to create a sense of relaxation""]},{""title"":""OIL USED"",""points"":[""Blissful Oil""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Drink plenty of water"",""Shower after 2 hours - lukewarm shower"",""Turmeric Milk at night"",""Tie Tummy with surgical belt or any traditional tummy wrap""]}]"
Spa for Women,Spa Services,Skincare and Scrubs,Face and Neck Detan,Face and Neck D tan,Reduces skin tan and evens skin tone,FEMALE,Reduces skin tan and evens skin tone,ODR De-Tan,25,300,119,419,"[{""title"":""BRAND"",""points"":[""Organica Da Roma""]},{""title"":""RECOMMENDED FOR"",""points"":[""All skin type""]},{""title"":""BENEFITS"",""points"":[""Skin lightening  brightening products"",""Unique tan reducing formula that lightens skin tone"",""Reduces tanning effect""]},{""title"":""INGREDIANTS"",""points"":[""Lactic Acids(milk protein) has skin lightening as well as anti-aging and anti-acne properties."",""Kojic Acid, reduce the production of melanin, giving your skin an overall lighter appearance"",""Lemon, loaded with healthy vitamins helps in moisturizing and toning oily skin"",""Chamomile Promote cell regeneration""]},{""title"":""PRECAUTIONS"",""points"":[""Avoid using it with peel or bleach""]},{""title"":""THINGS TO KNOW "",""points"":[""Use of mono-sachet."",""For reducing old and deep tan, you\u0027ll need multiple sessions "",""Warm water is not recommeded to clean detan pack from the skin""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Spa for Women,Spa At Home,Skincare and Scrubs,Face and Neck D tan,Face and Neck D tan,Reduces skin tan and evens skin tone,FEMALE,Reduces skin tan and evens skin tone,ODR De-Tan,25,300,119,419,"[{""title"":""BRAND"",""points"":[""Organica Da Roma""]},{""title"":""RECOMMENDED FOR"",""points"":[""All skin type""]},{""title"":""BENEFITS"",""points"":[""Skin lightening  brightening products"",""Unique tan reducing formula that lightens skin tone"",""Reduces tanning effect""]},{""title"":""INGREDIANTS"",""points"":[""Lactic Acids(milk protein) has skin lightening as well as anti-aging and anti-acne properties."",""Kojic Acid, reduce the production of melanin, giving your skin an overall lighter appearance"",""Lemon, loaded with healthy vitamins helps in moisturizing and toning oily skin"",""Chamomile Promote cell regeneration""]},{""title"":""PRECAUTIONS"",""points"":[""Avoid using it with peel or bleach""]},{""title"":""THINGS TO KNOW "",""points"":[""Use of mono-sachet."",""For reducing old and deep tan, you\u0027ll need multiple sessions "",""Warm water is not recommeded to clean detan pack from the skin""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Massage for Men,Skincare and Scrubs,Detan,Face and Neck D tan,Face and Neck D tan,,MALE,Reduces sun tan and evens skin tone,ODR De-Tan,25,300,119,419,"[{""title"":""BRAND"",""points"":[""Organica Da Roma""]},{""title"":""RECOMMENDED FOR"",""points"":[""All skin type""]},{""title"":""BENEFITS"",""points"":[""Skin-lightening product."",""Unique tan removing formula that lightens skin tone, removing tanning effect of the sun. ""]},{""title"":""INGREDIANTS"",""points"":[""Lactic Acids(milk protein) has skin lightening as well as anti-aging and anti-acne properties."",""Kojic Acid, reduce the production of melanin, giving your skin an overall lighter appearance"",""Lemon, loaded with healthy vitamins helps in moisturizing and toning oily skin"",""Chamomile Promote cell regeneration""]},{""title"":""PRECAUTIONS"",""points"":[""Avoid using it with peel or bleach"",""Warm water is not recommeded to clean detan pack from the skin""]},{""title"":""THINGS TO KNOW "",""points"":[""Use of mono-sachet."",""For reducing old and deep tan, you\u0027ll need multiple sessions ""]},{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Do not go out when you can get your favorite services at your doorstep "",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers."",""Our experts use their own private vehicle and avoid touch greetings""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. "",""Consult out expert for better experience and suggestions.""]}]"
Salon for Women,Waxing,Add On,Eyebrows - Threading,Eyebrows - Threading,,FEMALE,For maintaining/shaping brows look,,5,30,0,30,"[{""title"":""BRAND"",""points"":[""Organica Thread""]},{""title"":""RECOMMENDED FOR"",""points"":[""Unwanted hair near Eyebrows"",""For maintaining/shaping brows look"",""Safe for all skin types""]},{""title"":""BENEFITS"",""points"":[""Instantly clears off the area around eyebrows "",""Ideal for smaller and sensitive area"",""Doesn\u0027t create ingrown hairs"",""Very precise finishing""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""We have provided training to all our beauticians about safe threading practice wherein they have been trained to use a handkerchief/scarf instead of mouth to hold thread. "",""Safe distance during services results in low risk of spreading or getting covid 19 virus.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]},{""title"":""YES MADAM SAFETY"",""points"":[""Professionals equipped with fresh masks, gloves, head cover, shoe cover, apron and sensitization kits"",""PPE Kit worn throughout the services"",""Daily temperature monitoring of all Professionals"",""Last 3 days temperature check displayed"",""Professionals trained to follow WHO personal hygiene guidelines"",""Updated health status On Aarogya Setu app"",""Professionals will provide a disposable mask and a pair of gloves to the customers"",""Only one time usable products and disposable kit"",""Tools, equipment  surfaces sanitised in front of you"",""Super safe  relaxing pampering session by certified professionals"",""100% Post-service sensitization of Service area and high-touch points"",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread""]}]"
Salon for Women,Waxing,Add On,Upper Lips - Threading,Upper Lips - Threading,,FEMALE,Removes unwanted hair from Upper Lips,,5,30,0,30,"[{""title"":""YES MADAM SAFETY"",""points"":[""Professionals equipped with fresh masks, gloves, head cover, shoe cover, apron and sensitization kits"",""PPE Kit worn throughout the services"",""Daily temperature monitoring of all Professionals"",""Last 3 days temperature check displayed"",""Professionals trained to follow WHO personal hygiene guidelines"",""Updated health status On Aarogya Setu app"",""Professionals will provide a disposable mask and a pair of gloves to the customers"",""Only one time usable products and disposable kit"",""Tools, equipment  surfaces sanitised in front of you"",""Super safe  relaxing pampering session by certified professionals"",""100% Post-service sensitization of Service area and high-touch points"",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread""]},{""title"":""BRAND"",""points"":[""Organica Thread""]},{""title"":""RECOMMENDED FOR"",""points"":[""Unwanted hair on Upper Lips""]},{""title"":""BENEFITS"",""points"":[""Ideal for smaller and sensitive area"",""Doesn\u0027t create ingrown hairs"",""Removes Unwanted hair from Upper Lips""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""We have provided training to all our beauticians about safe threading practice wherein they have been trained to use a handkerchief/scarf instead of mouth to hold thread. "",""Safe distance during services results in low risk of spreading or getting covid 19 virus.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]}]"
Salon for Women,Waxing,Add On,Forehead - Threading,Forehead - Threading,,FEMALE,Removes unwanted hair from Forehead,,5,30,0,30,"[{""title"":""YES MADAM SAFETY"",""points"":[""Professionals equipped with fresh masks, gloves, head cover, shoe cover, apron and sensitization kits"",""PPE Kit worn throughout the services"",""Daily temperature monitoring of all Professionals"",""Last 3 days temperature check displayed"",""Professionals trained to follow WHO personal hygiene guidelines"",""Updated health status On Aarogya Setu app"",""Professionals will provide a disposable mask and a pair of gloves to the customers"",""Only one time usable products and disposable kit"",""Tools, equipment  surfaces sanitised in front of you"",""Super safe  relaxing pampering session by certified professionals"",""100% Post-service sensitization of Service area and high-touch points"",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread""]},{""title"":""BRAND"",""points"":[""Organica Thread""]},{""title"":""RECOMMENDED FOR"",""points"":[""Unwanted hair on Forehead""]},{""title"":""BENEFITS"",""points"":[""Ideal for smaller and sensitive area"",""Doesn\u0027t create ingrown hairs"",""Removes Unwanted hair from Forehead""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""We have provided training to all our beauticians about safe threading practice wherein they have been trained to use a handkerchief/scarf instead of mouth to hold thread. "",""Safe distance during services results in low risk of spreading or getting covid 19 virus.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]}]"
Salon for Women,Waxing,Add On,Upper Lips - Waxing,Upper Lips - Waxing,,FEMALE,Removes unwanted hair from upper lips,Face and Underarm Stripless Korean Bean Wax 80g Combo,5,30,39,69,"[{""title"":""BRAND"",""points"":[""Rica Brazilian""]},{""title"":""RECOMMENDED FOR"",""points"":[""Sensitive areas "",""Unwanted hair on upper lips"",""Tanned Skin "",""In growth Hair""]},{""title"":""BENEFITS"",""points"":[""Removes superficial tanning"",""Renowned for  natural soothing and emollient actions."",""Removes unwanted hair from upper lips""]},{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summer and monsoon."",""Use of pre-wax gel"",""Use of after wax lotion"",""Use of wooden disposable spatula"",""No cuts, wounds, injury or infection on the area to be waxed."",""Area to be waxed shouldn\u0027t be shaved in the past 3 weeks."",""Hair should be at least 0.25 inch to be able to wax properly."",""No previous history of major reaction due to waxing."",""If getting waxed for the first time : possibility of getting redness / hives / inflammation is normal, which subsides in few hours to few days depending on person to person."",""Use ice if you have redness and bumping"",""Use anti-biotic cream to prevent infection""]},{""title"":""FLAVOUR"",""points"":[""Avocado Butter""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Rica Wax Box will not be handed over, if left."",""In case you wish to use your own rica wax, please uncheck the product cost. "",""If customer is not providing her own Pre Gel and Post Oil, in that case they have to pay Rs. 50/- EXTRA.""]}]"
